men,17,0.00037490627343164207,0.00048599947661594824
on,352,0.019745063734066485,0.0069909155482447945
tv,14,0.0004998750312421895,0.0003738457512430371
who,247,0.0014996250937265683,0.008785375154211373
made,64,0.00037490627343164207,0.0021309207820853116
you,701,0.00024993751562109475,0.021832591872593368
thirsty,3,0.00012496875781054737,0.00011215372537291113
in,783,0.04373906523369158,0.014579984298478448
was,112,0.001374656335916021,0.003514150061684549
the,1422,0.0379905023744064,0.032412426632771316
walking,5,0.00012496875781054737,0.00022430745074582226
queen,5,0.00024993751562109475,0.00014953830049721484
of,796,0.027243189202699324,0.01973905566563236
reasons,48,0.00012496875781054737,0.0017944596059665781
wine,5,0.00012496875781054737,0.00018692287562151855
is,608,0.012246938265433641,0.018168903510411605
definitely,28,0.00012496875781054737,0.001046768103480504
your,278,0.00024993751562109475,0.010056450708437699
soulmate,2,0.00012496875781054737,0.00007476915024860742
this,580,0.00024993751562109475,0.01955213279001084
master,5,0.00012496875781054737,0.00022430745074582226
making,12,0.00024993751562109475,0.0004112303263673408
from,175,0.003874031492126968,0.005420763393024038
one,83,0.0011247188202949262,0.0027664585591984747
stick,2,0.00024993751562109475,0.00007476915024860742
will,274,0.0026243439140214947,0.009346143781075927
blow,21,0.00024993751562109475,0.000785076077610378
mind,34,0.00012496875781054737,0.0008972298029832891
ban,8,0.0008747813046738316,0.00011215372537291113
gay,8,0.0007498125468632841,0.00011215372537291113
blood,4,0.00024993751562109475,0.00014953830049721484
â,3,0.00012496875781054737,0.00014953830049721484
with,221,0.006748312921769558,0.0060189165950128975
a,835,0.03224193951512122,0.017570750308422745
big,38,0.002749312671832042,0.0005981532019888594
first,52,0.0006248437890527368,0.0014579984298478449
black,9,0.00024993751562109475,0.00014953830049721484
season,15,0.0007498125468632841,0.0004112303263673408
teaser,2,0.00012496875781054737,0.00011215372537291113
intense,2,0.00012496875781054737,0.00007476915024860742
most,154,0.0007498125468632841,0.005570301693521253
beautiful,42,0.00012496875781054737,0.0013458447044749336
literary,3,0.00012496875781054737,0.00014953830049721484
quotes,24,0.00012496875781054737,0.0008598452278589854
about,99,0.0011247188202949262,0.003401996336311638
christmas,82,0.00024993751562109475,0.00261692025870126
being,33,0.00037490627343164207,0.0011215372537291114
as,117,0.007623094226443389,0.0017944596059665781
told,11,0.00024993751562109475,0.0004112303263673408
through,14,0.00037490627343164207,0.00048599947661594824
eminem,2,0.00012496875781054737,0.00011215372537291113
lyrics,8,0.00012496875781054737,0.0002990766009944297
which,27,0.00024993751562109475,0.0009719989532318965
rules,20,0.001374656335916021,0.0003738457512430371
star,10,0.0004998750312421895,0.000261692025870126
are,373,0.0034991252186953262,0.01248644809151744
buzzfeed,2,0.00012496875781054737,0.00011215372537291113
weirdest,10,0.00012496875781054737,0.0004112303263673408
songs,9,0.00012496875781054737,0.0003738457512430371
you've,43,0.00012496875781054737,0.0016075367303450597
probably,24,0.00024993751562109475,0.0008972298029832891
never,158,0.00012496875781054737,0.005869378294515682
heard,14,0.00024993751562109475,0.000523384051740252
awkward,20,0.00012496875781054737,0.0007476915024860742
moments,26,0.00012496875781054737,0.0009719989532318965
all,115,0.0012496875781054736,0.003775842087554675
couples,14,0.00024993751562109475,0.00048599947661594824
home,35,0.001374656335916021,0.0007103069273617706
for,427,0.023994001499625092,0.008374144827844031
holidays,10,0.00024993751562109475,0.0003738457512430371
experience,3,0.00012496875781054737,0.00014953830049721484
gifts,17,0.00037490627343164207,0.0005981532019888594
dog,48,0.00012496875781054737,0.0017570750308422746
gives,7,0.0004998750312421895,0.00018692287562151855
every,42,0.00012496875781054737,0.0016075367303450597
day,48,0.0012496875781054736,0.0009719989532318965
things,138,0.00012496875781054737,0.005084302216905305
didn't,35,0.00037490627343164207,0.0011963064039777187
know,71,0.00024993751562109475,0.002467381958204045
cuba,5,0.0004998750312421895,0.00007476915024860742
trees,5,0.00012496875781054737,0.00022430745074582226
that,547,0.0017495626093476631,0.019365209914389322
forgot,9,0.00012496875781054737,0.0003738457512430371
how,104,0.0007498125468632841,0.0035889192119331562
to,913,0.03424143964008998,0.021197054095480204
tree,11,0.00012496875781054737,0.0003738457512430371
suspect,8,0.000999750062484379,0.00007476915024860742
mrs,2,0.00012496875781054737,0.00003738457512430371
claus,4,0.00012496875781054737,0.00014953830049721484
cheating,4,0.00024993751562109475,0.00014953830049721484
inappropriate,6,0.00012496875781054737,0.000261692025870126
truths,3,0.00012496875781054737,0.00014953830049721484
classic,8,0.00012496875781054737,0.0003364611761187334
celebrity,17,0.00024993751562109475,0.0006355377771131631
tweets,3,0.00012496875781054737,0.00014953830049721484
missed,7,0.00012496875781054737,0.0002990766009944297
today,28,0.0006248437890527368,0.0006355377771131631
an,88,0.0034991252186953262,0.0022804590825825266
writers,2,0.00012496875781054737,0.00011215372537291113
got,43,0.00012496875781054737,0.001570152155220756
it,189,0.0014996250937265683,0.005458147968148342
right,32,0.0004998750312421895,0.0006729223522374668
new,141,0.010747313171707074,0.0020187670567124003
york,36,0.0036240939765058737,0.0002990766009944297
city,34,0.0029992501874531365,0.0003364611761187334
history,25,0.0004998750312421895,0.0008224606527346816
birth,5,0.00024993751562109475,0.00014953830049721484
you'll,87,0.00012496875781054737,0.002990766009944297
only,42,0.0004998750312421895,0.0014579984298478449
understand,27,0.00012496875781054737,0.0008598452278589854
if,90,0.0004998750312421895,0.0032150734606901194
don't,26,0.00037490627343164207,0.0009346143781075928
have,148,0.00037490627343164207,0.005420763393024038
car,20,0.0008747813046738316,0.0004112303263673408
